"institution_name","state","control","debt_mdn","earn_mdn_10y","average_cost"
"Michigan Career and Technical Institute","MI",1,"PS",29376,16152
"Washtenaw Community College","MI",1,"7855",39449,11161
"Wayne County Community College District","MI",1,"7421",29079,12642
"Wayne State University","MI",1,"16597",53493,26794
"West Shore Community College","MI",1,"6000",36115,9674
"Western Michigan University","MI",1,"20115",53562,28655
"Academy College","MN",3,"16500",48300,34240
"Alexandria Technical & Community College","MN",1,"8251",49393,18962
"Anoka Technical College","MN",1,"9250",47746,16662
"Anoka-Ramsey Community College","MN",1,"8750",48342,16110
"Augsburg University","MN",2,"19500",58829,57966
"Riverland Community College","MN",1,"9500",45247,14611
"Northwest Technical College","MN",1,"9500",42930,18271
"Bemidji State University","MN",1,"13809",53755,23066
"Bethany Lutheran College","MN",2,"15935",46110,39624
"Bethel University","MN",2,"18272",63764,56310
"Central Lakes College-Brainerd","MN",1,"8439",42162,18003
"Carleton College","MN",2,"15960",75525,81350
"Concordia College at Moorhead","MN",2,"20895",59317,43074
"Concordia University-Saint Paul","MN",2,"12166",59871,34495
"Dakota County Technical College","MN",1,"8250",51938,15792
"Martin Luther College","MN",2,"16606",47491,29288
"Lake Superior College","MN",1,"8820",46449,20049
"Minnesota State Community and Technical College","MN",1,"9360",45591,15570
"Minnesota West Community and Technical College","MN",1,"9500",45285,17205
"Gustavus Adolphus College","MN",2,"23250",65607,65976
"Hamline University","MN",2,"15750",61106,56738
"Hennepin Technical College","MN",1,"9500",49460,15830
"Minnesota North College","MN",1,"8694",45570,16231
"Inver Hills Community College","MN",1,"9315",49898,15612
"Macalester College","MN",2,"19500",63878,78900
"South Central College","MN",1,"8250",45068,15400
"Minnesota State University-Mankato","MN",1,"14000",56922,22565
"Metropolitan State University","MN",1,"12900",64705,26057
"University of Minnesota-Twin Cities","MN",1,"16727",69020,29013
"University of Minnesota-Crookston","MN",1,"12500",58056,25290
"Minneapolis College of Art and Design","MN",2,"19225",40873,54606
"Minneapolis Community and Technical College","MN",1,"10500",40086,18826
"Herzing University-Minneapolis","MN",2,"11756",36909,23747
"University of Minnesota-Duluth","MN",1,"16000",62616,26907
"University of Minnesota-Morris","MN",1,"12377",50919,25816
"Minnesota State University Moorhead","MN",1,"15000",50527,24419
"North Hennepin Community College","MN",1,"9000",51142,14293
"Normandale Community College","MN",1,"8000",50207,17594
"North Central University","MN",2,"16750",45064,42215
"Northland Community and Technical College","MN",1,"9500",44425,17893
"University of Northwestern-St Paul","MN",2,"17750",50755,48246
"Northwestern Health Sciences University","MN",2,"8250",48666,36501
"Oak Hills Christian College","MN",2,"9500",35983,31810
"Pine Technical & Community College","MN",1,"9933",41232,15534
"Rochester Community and Technical College","MN",1,"9250",45287,17814
"College of Saint Benedict","MN",2,"23250",63260,66878
"St Cloud Technical and Community College","MN",1,"8265",46874,15374
"Saint Cloud State University","MN",1,"14362",55813,21389
"Saint Johns University","MN",2,"23250",76786,66863
"Saint Mary's University of Minnesota","MN",2,"16099",58170,54870
"St Olaf College","MN",2,"23250",65543,69200
"Crown College","MN",2,"15225",48057,44961
"The College of Saint Scholastica","MN",2,"17125",65934,53069
"University of St Thomas","MN",2,"19500",73739,64684
"St Catherine University","MN",2,"19716",59282,58432
"Rasmussen University-Minnesota","MN",3,"13000",39080,24056
"Saint Paul College","MN",1,"9000",38399,17977
"Southwest Minnesota State University","MN",1,"14250",51342,22399
"Dunwoody College of Technology","MN",2,"12000",61511,34834
"Ridgewater College","MN",1,"9196",43827,16195
"Minnesota State College Southeast","MN",1,"9500",43613,20158
"Winona State University","MN",1,"15000",58532,23373
"Century College","MN",1,"9500",46424,15084
"Alcorn State University","MS",1,"17021",36421,23937
"Belhaven University","MS",2,"18549",46440,38359
"Blue Mountain Christian University","MS",2,"13750",40421,32140
"Coahoma Community College","MS",1,"PS",24289,9071
"Copiah-Lincoln Community College","MS",1,"5500",31241,11844
"Delta State University","MS",1,"15000",41991,22008
"East Central Community College","MS",1,"4481",32421,12692
"East Mississippi Community College","MS",1,"5790",33772,10806
"Hinds Community College","MS",1,"5951",30774,9817
"Holmes Community College","MS",1,"5500",32922,12733
"Itawamba Community College","MS",1,"5500",32912,11557
"Jackson State University","MS",1,"24751",39060,28611
"Jones County Junior College","MS",1,"5500",33377,14975
"Meridian Community College","MS",1,"4500",31002,13402
"Millsaps College","MS",2,"19500",53848,61025
"Mississippi Delta Community College","MS",1,"PS",28421,9270
"University of Mississippi","MS",1,"15250",50994,27692
"Mississippi University for Women","MS",1,"13000",46128,21808
"Mississippi Valley State University","MS",1,"19203",31919,21606
"Mississippi College","MS",2,"17759",47485,39167
"Mississippi Gulf Coast Community College","MS",1,"6625",33017,12908
"Mississippi State University","MS",1,"16324",51513,26922
"Northeast Mississippi Community College","MS",1,"5500",34081,14779
"Northwest Mississippi Community College","MS",1,"5500",36396,13156
"Pearl River Community College","MS",1,"6250",33019,11607
"Rust College","MS",2,"13777",32275,18448
"Southeastern Baptist College","MS",2,"PS",26946,10775
"Southwest Mississippi Community College","MS",1,"PS",33227,10933
"University of Southern Mississippi","MS",1,"14250",44140,25482
"Tougaloo College","MS",2,"23098",34724,22570
"William Carey University","MS",2,"15796",43087,30846
"Avila University","MO",2,"19230",52773,32863
"Mission University","MO",2,"16000",38641,29288
"Calvary University","MO",2,"12500",45421,20044
"Central Christian College of the Bible","MO",2,"10125",34675,22288
"Central Methodist University-College of Liberal Arts and Sciences","MO",2,"13292",48991,43890
"University of Central Missouri","MO",1,"15750",49560,22086
"Cleveland University-Kansas City","KS",2,"9500",52304,39040
"Columbia College","MO",2,"14750",45378,37136
"Conception Seminary College","MO",2,"PS",50430,41161
"Cottey College","MO",2,"11000",35422,36726
"Crowder College","MO",1,"5500",35987,11561
"Culver-Stockton College","MO",2,"15000",46092,43028
"Drury University","MO",2,"13000",40694,47091
"East Central College","MO",1,"6590",36916,18191
"Evangel University","MO",2,"17495",46573,38931
"Fontbonne University","MO",2,"16500",48825,42982
"Four Rivers Career Center","MO",1,"8745",48199,27525
"Ozarks Technical Community College","MO",1,"6500",36455,12540
"Hannibal-LaGrange University","MO",2,"13688",42643,39296
"Harris-Stowe State University","MO",1,"13500",31088,19616
"Jefferson College","MO",1,"6000",40782,12965
"Kansas City Art Institute","MO",2,"21500",37032,57779
"Lincoln University","MO",1,"19000",39463,21265
"Lindenwood University","MO",2,"20500",53278,33442
"State Technical College of Missouri","MO",1,"8500",55901,17385
"Logan University","MO",2,"7767",55838,24276
"Metropolitan Community College-Kansas City","MO",1,"6500",40796,14162
"Maryville University of Saint Louis","MO",2,"10041",62105,45093
"Midwestern Baptist Theological Seminary","MO",2,"9995",50535,31765
"Mineral Area College","MO",1,"7815",35352,17328
"Missouri Baptist University","MO",2,"17726",46660,47370
"Missouri Southern State University","MO",1,"11650",42620,19194
"Missouri Valley College","MO",2,"10250",43221,37001
"Missouri Western State University","MO",1,"11920",42647,20282
"University of Missouri-Columbia","MO",1,"16500",63403,28948
"University of Missouri-Kansas City","MO",1,"14835",59637,24645
"Missouri University of Science and Technology","MO",1,"19000",82957,25653
"University of Missouri-St Louis","MO",1,"16500",53037,27442
"Moberly Area Community College","MO",1,"8000",37537,13379
"Truman State University","MO",1,"16679",56280,23420
"Northwest Missouri State University","MO",1,"14927",47885,22906
"Ozark Christian College","MO",2,"9784",41297,25475
"College of the Ozarks","MO",2,"PS",41592,32262
"Park University","MO",2,"12500",56309,23714
"Stevens-The Institute of Business & Arts","MO",3,"21000",29058,27565
"Ranken Technical College","MO",2,"9813",55955,28229
"Rockhurst University","MO",2,"12500",67102,57712
"Saint Louis University","MO",2,"19500",70783,69125
"University of Health Sciences and Pharmacy in St. Louis","MO",2,"14000",137047,53608
"Saint Louis Community College","MO",1,"3839",35325,12053
"Southwest Baptist University","MO",2,"14000",43112,38035
"Missouri State University-West Plains","MO",1,"5750",36922,15761
"State Fair Community College","MO",1,"6500",35562,13483
"Stephens College","MO",2,"19489",43071,42694
"Southeast Missouri State University","MO",1,"14750",44030,23337
"Missouri State University-Springfield","MO",1,"16200",49827,24022
"Three Rivers College","MO",1,"7061",32442,17482
"North Central Missouri College","MO",1,"8000",40837,17119
"Washington University in St Louis","MO",2,"15000",86182,83476
"Webster University","MO",2,"18500",50876,49218
"Westminster College","MO",2,"19463",52199,49646
"William Jewell College","MO",2,"19250",59268,34291
"William Woods University","MO",2,"14425",42401,44907
"Blackfeet Community College","MT",2,"PS",22953,12168
"Highlands College of Montana Tech","MT",1,"9847",54329,16138
"Carroll College","MT",2,"21000",61772,54141
"Dawson Community College","MT",1,"5500",41951,15311
"Chief Dull Knife College","MT",1,"PS",20073,12809
"Montana State University Billings","MT",1,"10086",44296,18473
"Flathead Valley Community College","MT",1,"6719",38520,14949
"Aaniiih Nakoda College","MT",1,"PS",30528,16133
"Fort Peck Community College","MT",1,"PS",14747,11078
"Great Falls College Montana State University","MT",1,"7992",38034,14341
"University of Providence","MT",2,"12500",48296,43054
"Helena College University of Montana","MT",1,"9500",40738,17493
"Little Big Horn College","MT",1,"PS",21152,11402
"Miles Community College","MT",1,"8025",42862,15399
"Montana Technological University","MT",1,"9847",54329,21620
"Montana State University","MT",1,"13748",53263,23779
"The University of Montana","MT",1,"15000",44511,23744
"Montana State University-Northern","MT",1,"10560",49505,17363
"Rocky Mountain College","MT",2,"12000",49036,44180
"Salish Kootenai College","MT",1,"8450",32725,14562
"The University of Montana-Western","MT",1,"12000",43229,19414
"Bellevue University","NE",2,"11000",61289,33315
"Clarkson College","NE",2,"19500",64876,23962
"Bryan College of Health Sciences","NE",2,"22250",70845,28837
"Central Community College","NE",1,"5500",39429,13504
"Chadron State College","NE",1,"11343",47002,20672
"Concordia University-Nebraska","NE",2,"18750",52415,51179
"Creighton University","NE",2,"21500",73911,61046
"Doane University","NE",2,"19500",53316,55510
"Hastings College","NE",2,"15595",51303,49051
"University of Nebraska at Kearney","NE",1,"13070",50105,24452
"Nebraska Methodist College of Nursing & Allied Health","NE",2,"21784",65071,30659
"Metropolitan Community College Area","NE",1,"4061",38773,9684
"Mid-Plains Community College","NE",1,"6291",40059,12030
"Midland University","NE",2,"15000",52163,52386
"University of Nebraska at Omaha","NE",1,"12750",53909,20446
"Nebraska Indian Community College","NE",1,"PS",31458,29812
"Nebraska Wesleyan University","NE",2,"17500",56405,53350
"University of Nebraska-Lincoln","NE",1,"14750",56887,25341
"Northeast Community College","NE",1,"7244",42634,13845
"Peru State College","NE",1,"12000",47071,20743
"College of Saint Mary","NE",2,"17500",54338,33989
"Southeast Community College Area","NE",1,"6672",43405,12319
"Union Adventist University","NE",2,"18750",55045,40586
"Nebraska College of Technical Agriculture","NE",1,"14750",56887,19088
"Wayne State College","NE",1,"12240",47075,21310
"Western Nebraska Community College","NE",1,"5500",38729,12550
"York University","NE",2,"14250",44130,33136
"College of Southern Nevada","NV",1,"4500",38087,13270
"Las Vegas College","NV",3,"7951",31398,33134
"University of Nevada-Las Vegas","NV",1,"12500",55037,19440
"University of Nevada-Reno","NV",1,"13000",60614,24702
"Great Basin College","NV",1,"8973",39289,12010
"Truckee Meadows Community College","NV",1,"6999",44573,15874
"Western Nevada College","NV",1,"9000",41987,19595
"Colby-Sawyer College","NH",2,"19500",46474,65807
"Dartmouth College","NH",2,"15157",97434,83802
"Franklin Pierce University","NH",2,"19500",53353,61955
"Magdalen College","NH",2,"11331",35809,36856
"New England College","NH",2,"15603",42092,60896
"Southern New Hampshire University","NH",2,"9169",50318,37524
"University of New Hampshire-Main Campus","NH",1,"22498",66479,34567
"Keene State College","NH",1,"19500",54368,29524
"University of New Hampshire at Manchester","NH",1,"22498",66479,22605
"Plymouth State University","NH",1,"17000",57304,29257
"NHTI-Concord's Community College","NH",1,"9168",48943,23210
"White Mountains Community College","NH",1,"8400",35037,20388
"River Valley Community College","NH",1,"10000",44700,24442
"Lakes Region Community College","NH",1,"9500",51182,22877
"Manchester Community College","NH",1,"9500",49063,17069
"Nashua Community College","NH",1,"7833",46164,18752
"Great Bay Community College","NH",1,"7466",42397,22016
"Rivier University","NH",2,"21000",52248,50999
"Saint Anselm College","NH",2,"26987",73371,65067
"University of New Hampshire College of Professional Studies Online","NH",1,"22498",66479,19236
"Thomas More College of Liberal Arts","NH",2,"22475",53565,38889
"Eastwick College-Hackensack","NJ",3,"10617",39762,38705
"Atlantic Cape Community College","NJ",1,"7382",34241,15261
"Bergen Community College","NJ",1,"8250",46624,15317
"Berkeley College-Woodland Park","NJ",3,"15414",40251,38702
"Bloomfield College of Montclair State University","NJ",2,"18500",45902,44298
"Brookdale Community College","NJ",1,"8341",44379,15369
"Rowan College at Burlington County","NJ",1,"7000",44745,11965
"Caldwell University","NJ",2,"18500",53843,53586
"Camden County College","NJ",1,"6750",41212,11538
"Centenary University","NJ",2,"19321",53726,51351
"County College of Morris","NJ",1,"5750",50243,14629
"Rowan College of South Jersey-Cumberland Campus","NJ",1,"7664",41751,12920
"Drew University","NJ",2,"21000",63646,61378
"Essex County College","NJ",1,"PS",37230,11821
"Fairleigh Dickinson University-Metropolitan Campus","NJ",2,"19500",57273,47791
"Felician University","NJ",2,"19250",57602,50346
"Fairleigh Dickinson University-Florham Campus","NJ",2,"19500",57273,52840
"Georgian Court University","NJ",2,"16984",53096,49198
"Rowan University","NJ",1,"16750",59988,34116
"Rowan College of South Jersey-Gloucester Campus","NJ",1,"7664",41751,14302
"Eastwick College-Ramsey","NJ",3,"13771",51725,33887
"Holy Name Medical Center-Sister Claire Tynan School of Nursing","NJ",2,"14750",87408,24635
"Hudson County Community College","NJ",1,"6000",34333,13014
"New Jersey City University","NJ",1,"14250",52745,23668
"Kean University","NJ",1,"17199",57237,24924
"Mercer County Community College","NJ",1,"7000",43264,12337
"Middlesex College","NJ",1,"5500",46861,13721
"Monmouth University","NJ",2,"23250",67991,60113
"Montclair State University","NJ",1,"17500",61415,25926
"JFK Muhlenberg Harold B. and Dorothy A. Snyder Schools","NJ",2,"21000",73894,39193
"Eastwick College-Nutley","NJ",3,"9500",42827,22900
"New Jersey Institute of Technology","NJ",1,"17500",84276,32228
"Ocean County College","NJ",1,"8500",45210,16424
"Passaic County Community College","NJ",1,"5500",36972,14717
"Princeton University","NJ",2,"10000",110066,80440
"Rabbinical College of America","NJ",2,"PS",34990,25000
"Ramapo College of New Jersey","NJ",1,"15000",67541,30176
"Rider University","NJ",2,"20500",62208,53982
"Rutgers University-Camden","NJ",1,"19000",74479,33812
"Rutgers University-New Brunswick","NJ",1,"19000",74479,35232
"Rutgers University-Newark","NJ",1,"19000",74479,33749
"Saint Peter's University","NJ",2,"16091",57815,50052
"Salem Community College","NJ",1,"8250",38020,16706
"Seton Hall University","NJ",2,"17886",70196,64996
"Saint Elizabeth University","NJ",2,"13000",53038,52328
"Raritan Valley Community College","NJ",1,"6000",48145,13039
"Stevens Institute of Technology","NJ",2,"23250",108772,76449
"Stockton University","NJ",1,"16380",57602,32159
"Talmudical Academy-New Jersey","NJ",2,"PS",40344,21300
"Aviation Institute of Maintenance-Teterboro","NJ",3,"12827",73971,26064
"The College of New Jersey","NJ",1,"21500",73323,37070
"UCNJ Union College of Union County New Jersey","NJ",1,"8500",41595,13752
"William Paterson University of New Jersey","NJ",1,"15750",57780,26555
"Central New Mexico Community College","NM",1,"4500",36869,10906
"Navajo Technical University","NM",1,"PS",26364,11945
"New Mexico State University-Dona Ana","NM",1,"10250",39067,12541
"Clovis Community College","NM",1,"5750",34020,10066
"Eastern New Mexico University-Main Campus","NM",1,"11000",38550,18503
"Eastern New Mexico University-Roswell Campus","NM",1,"11000",38550,12220
"Institute of American Indian and Alaska Native Culture and Arts Development","NM",1,"PS",24505,23873
"New Mexico Highlands University","NM",1,"9500",45937,21046
"New Mexico Junior College","NM",1,"5500",34233,9150
"New Mexico Military Institute","NM",1,"4549",57410,18891
"University of New Mexico-Gallup Campus","NM",1,"13698",44792,11378
"New Mexico Institute of Mining and Technology","NM",1,"11057",76489,22872
"University of New Mexico-Los Alamos Campus","NM",1,"13698",44792,15550
"University of New Mexico-Main Campus","NM",1,"13698",44792,20973
"New Mexico State University-Alamogordo","NM",1,"10250",39067,13482
"New Mexico State University-Grants","NM",1,"10250",39067,15593
"New Mexico State University-Main Campus","NM",1,"10250",39067,20930
"University of New Mexico-Valencia County Campus","NM",1,"13698",44792,14710
"Northern New Mexico College","NM",1,"6500",38112,17529
"San Juan College","NM",1,"6253",36513,13178
"Santa Fe Community College","NM",1,"9604",38005,15783
"University of the Southwest","NM",2,"14000",45389,30369
"Southwestern Indian Polytechnic Institute","NM",1,"PS",27660,14221
"University of New Mexico-Taos Campus","NM",1,"13698",44792,16135
"Mesalands Community College","NM",1,"5295",32272,15589
"Western New Mexico University","NM",1,"12500",39095,21649
"Vaughn College of Aeronautics and Technology","NY",2,"14000",64973,47174
"Adelphi University","NY",2,"20500",75482,57444
"SUNY Adirondack","NY",1,"8494",41267,16664
"Bryant & Stratton College-Albany","NY",2,"9500",32568,22650
"Albany College of Pharmacy and Health Sciences","NY",2,"25000",131426,52317
"Alfred University","NY",2,"17751",54897,54516
"The Ailey School","NY",2,"13399",22782,38671
"American Academy of Dramatic Arts-New York","NY",2,"12000",27019,61369
"American Academy McAllister Institute of Funeral Service","NY",2,"11000",54695,27025
"American Musical and Dramatic Academy","NY",2,"12000",26975,63779
"Associated Beth Rivkah Schools","NY",2,"PS",17686,27111
"Bard College","NY",2,"19000",46543,81661
"Barnard College","NY",2,"15750",80516,84023
"Berkeley College-New York","NY",3,"19000",45884,39029
"Boricua College","NY",2,"6347",35348,23338
"SUNY Broome Community College","NY",1,"7727",39710,15541
"Bryant & Stratton College-Syracuse North","NY",2,"9500",32568,21955
"Bryant & Stratton College-Buffalo","NY",2,"9500",32568,23942
"Bryant & Stratton College-Greece","NY",2,"9500",32568,23142
"Canisius University","NY",2,"19000",60681,42271
"St Paul's School of Nursing-Queens","NY",3,"20000",104403,38134
"Cayuga County Community College","NY",1,"6462",38709,13920
"Central Yeshiva Tomchei Tmimim Lubavitz","NY",2,"PS",35023,27589
"Circle in the Square Theatre School","NY",2,"20000",39899,42500
"Clarkson University","NY",2,"21714",89696,76451
"Clinton Community College","NY",1,"8125",39246,15614
"Colgate University","NY",2,"13000",85139,83650
"Metropolitan College of New York","NY",2,"20000",46236,32786
"Columbia University in the City of New York","NY",2,"18750",102491,86042
"Columbia-Greene Community College","NY",1,"9000",44441,12441
"The Cooper Union for the Advancement of Science and Art","NY",2,"12375",83847,67088
"Cornell University","NY",2,"13000",104043,83196
"SUNY Corning Community College","NY",1,"8750",38817,13917
"Pomeroy College of Nursing at Crouse Hospital","NY",2,"12000",83972,26409
"Culinary Institute of America","NY",2,"12000",47475,54106
"CUNY Bernard M Baruch College","NY",1,"10000",75971,13521
"CUNY Borough of Manhattan Community College","NY",1,"5550",42306,12187
"CUNY Bronx Community College","NY",1,"6430",41307,11987
"CUNY Brooklyn College","NY",1,"9218",60752,13573
"College of Staten Island CUNY","NY",1,"8846",53501,14084
"CUNY City College","NY",1,"9775",66039,13514
"CUNY Hostos Community College","NY",1,"6000",40485,12390
"CUNY Hunter College","NY",1,"8812",63163,13310
"CUNY John Jay College of Criminal Justice","NY",1,"9250",56195,13712
"CUNY Kingsborough Community College","NY",1,"5500",42621,12998
"CUNY LaGuardia Community College","NY",1,"5217",41653,13167
"CUNY Lehman College","NY",1,"8500",58013,13456
"CUNY Medgar Evers College","NY",1,"7400",46498,14069
"CUNY New York City College of Technology","NY",1,"7000",49365,13404
"CUNY Queens College","NY",1,"8580",62763,13643
"CUNY Queensborough Community College","NY",1,"5500",44214,11882
"CUNY York College","NY",1,"7500",56945,13686
"D'Youville  University","NY",2,"19750",66942,42512
"Daemen University","NY",2,"15041",61808,44232
"Dominican University New York","NY",2,"18250",61171,48001
"Dutchess Community College","NY",1,"5500",43929,15709
"Belanger School of Nursing","NY",2,"11750",79677,24233
"Elmira College","NY",2,"20230",57550,50783
"Erie Community College","NY",1,"5500",41228,12475
"Fashion Institute of Technology","NY",1,"12000",62696,29732
"Finger Lakes Community College","NY",1,"8250",40054,19411
"Five Towns College","NY",3,"12750",35887,40792
"Fordham University","NY",2,"20500",85569,77351
"Fulton-Montgomery Community College","NY",1,"8500",39535,14219
"Genesee Community College","NY",1,"6549",39674,15432
"Hamilton College","NY",2,"15015",78411,80380
"Hartwick College","NY",2,"17500",61107,66623
"Helene Fuld College of Nursing","NY",2,"14292",111027,41733
"Herkimer County Community College","NY",1,"6500",39199,17648
"Hilbert College","NY",2,"15000",48309,40002
"Hobart William Smith Colleges","NY",2,"24250",68831,80635
"Hofstra University","NY",2,"18518",69039,68298
"Houghton University","NY",2,"20313",46721,29287
"Hudson Valley Community College","NY",1,"5713",45460,13654
"Iona University","NY",2,"19500",73595,57336
"Island Drafting and Technical Institute","NY",3,"12000",62379,30201
"Ithaca College","NY",2,"19500",63548,66162
"Jamestown Community College","NY",1,"6037",38242,17300
"Jamestown Business College","NY",3,"10873",34976,19567
"Jefferson Community College","NY",1,"7685",39991,17874
"Jewish Theological Seminary of America","NY",2,"14976",92751,80579
"The Juilliard School","NY",2,"25000",37827,81090
"Kehilath Yakov Rabbinical Seminary","NY",2,"PS",36442,16625
"Keuka College","NY",2,"21418",58289,53506
"LIM College","NY",3,"17500",58956,50471
"Le Moyne College","NY",2,"18435",62731,51033
"Long Island University","NY",2,"19500",59950,52419
"Long Island Business Institute","NY",3,"10000",23438,19228
"Machzikei Hadath Rabbinical College","NY",2,"PS",41527,20375
"Mandl School-The College of Allied Health","NY",3,"12000",39108,38957
"Manhattan University","NY",2,"21500",86316,62537
"Manhattan School of Music","NY",2,"25125",26878,74277
"Manhattanville University","NY",2,"20090",58832,55641
"Maria College of Albany","NY",2,"14708",55458,23518
"Marion S Whelan School of Nursing of Geneva General Hospital","NY",2,"14751",70771,14085
"Marist University","NY",2,"21500",77819,63898
"Marymount Manhattan College","NY",2,"19250",49131,63837
"Mercy University","NY",2,"15000",52055,32391
"Mildred Elley School-Albany Campus","NY",3,"12000",38830,28648
"Mirrer Yeshiva Cent Institute","NY",2,"PS",41192,21343
"Mohawk Valley Community College","NY",1,"7467",39850,15981
"Molloy University","NY",2,"24250",77789,48251
"Monroe University","NY",3,"12672",41236,26306
"Monroe Community College","NY",1,"6500",40174,14196
"Mount Saint Mary College","NY",2,"22250",67705,51810
"University of Mount Saint Vincent","NY",2,"18500",65756,50617
"Nassau Community College","NY",1,"6000",48248,13907
"Nazareth University","NY",2,"22500",56458,56140
"Neighborhood Playhouse School of the Theater","NY",2,"12000",29382,39556
"The New School","NY",2,"15498",52901,82757
"New York University","NY",2,"18500",82509,79121
"Niagara County Community College","NY",1,"7070",42285,13545
"Niagara University","NY",2,"20312",56196,50174
"North Country Community College","NY",1,"9500",38276,17964
"New York Institute of Technology","NY",2,"17000",70080,53625
"New York School of Interior Design","NY",2,"12750",48041,46980
"Onondaga Community College","NY",1,"5500",41190,14613
"Orange County Community College","NY",1,"6500",44117,14396
"Pace University","NY",2,"17750",70378,68092
"Paul Smiths College of Arts and Science","NY",2,"17062",46145,50865
"Plaza College","NY",3,"13348",31519,25190
"Davis College","NY",2,"17290",38450,22080
"Pratt Institute-Main","NY",2,"20500",54295,76533
"Rabbinical College Bobover Yeshiva Bnei Zion","NY",2,"PS",20707,19382
"Rensselaer Polytechnic Institute","NY",2,"21995",102051,79934
"Roberts Wesleyan University","NY",2,"19000",55031,49621
"Rochester Institute of Technology","NY",2,"20872",76571,71714
"University of Rochester","NY",2,"19000",79042,82600
"Rockland Community College","NY",1,"5500",50243,14941
"Russell Sage College","NY",2,"18000",58316,50986
"St Bonaventure University","NY",2,"19500",57214,55265
"St. Francis College","NY",2,"12693",58099,42269
"St. Joseph's College of Nursing","NY",2,"12000",81908,30466
"St Lawrence University","NY",2,"22670",67258,79665
"The College of Saint Rose","NY",2,"16000",56040,52773
"St. Thomas Aquinas College","NY",2,"17500",62909,51685
"Samaritan Hospital School of Nursing","NY",2,"14250",64383,29132
"Sarah Lawrence College","NY",2,"19500",53603,79320
"Schenectady County Community College","NY",1,"6887",40902,13169
"Siena College","NY",2,"21471",76079,62329
"Skidmore College","NY",2,"15000",69363,81890
"St. Joseph's University-New York","NY",2,"17750",63905,39254
"Saint Elizabeth College of Nursing","NY",2,"12000",72122,28850
"St. John Fisher University","NY",2,"19500",66944,52514
"St Paul's School of Nursing-Staten Island","NY",3,"18500",86693,46582
"St. John's University-New York","NY",2,"19500",69571,61931
"Sullivan County Community College","NY",1,"6200",38354,16693
"SUNY College of Technology at Alfred","NY",1,"12000",50445,23982
"SUNY College of Technology at Canton","NY",1,"12500",47860,23169
"SUNY College of Technology at Delhi","NY",1,"12000",51629,26285
"SUNY College of Agriculture and Technology at Cobleskill","NY",1,"11000",45030,27108
"Farmingdale State College","NY",1,"11000",69781,17146
"SUNY Morrisville","NY",1,"12000",43295,26031
"University at Albany","NY",1,"15059",67979,28490
"Binghamton University","NY",1,"15000",80596,29657
"University at Buffalo","NY",1,"14250",70814,29043
"Stony Brook University","NY",1,"15000",74502,29174
"SUNY College of Environmental Science and Forestry","NY",1,"13000",55763,27958
"SUNY Polytechnic Institute","NY",1,"12000",64355,23018
"SUNY Brockport","NY",1,"15000",54496,25635
"SUNY Buffalo State University","NY",1,"12500",52334,23171
"State University of New York at Cortland","NY",1,"17500",60236,26413
"SUNY at Fredonia","NY",1,"17500",54247,25331
"SUNY College at Geneseo","NY",1,"14836",67316,26461
"State University of New York at New Paltz","NY",1,"15000",58073,27034
"SUNY Oneonta","NY",1,"15000",60386,27258
"State University of New York at Oswego","NY",1,"15750",57566,27155
"SUNY College at Potsdam","NY",1,"18166",47866,24489
"SUNY at Purchase College","NY",1,"15194",45092,28541
"SUNY Old Westbury","NY",1,"12000",58526,19934
"State University of New York at Plattsburgh","NY",1,"15000",56403,27415
"Empire State University","NY",1,"11000",54080,18221
"SUNY Maritime College","NY",1,"15875",95951,28880
"Swedish Institute a College of Health Sciences","NY",3,"13834",29699,37403
"Syracuse University","NY",2,"23697",79164,80396
"Talmudical Seminary Oholei Torah","NY",2,"PS",39230,19724
"Tompkins Cortland Community College","NY",1,"8250",40707,19349
"Touro University","NY",2,"12500",53419,37824
"Trocaire College","NY",2,"16617",55318,29500
"Ulster County Community College","NY",1,"6266",41896,12927
"Union College","NY",2,"21085",88604,81627
"United Talmudical Seminary","NY",2,"PS",25113,21624
"United States Merchant Marine Academy","NY",1,"6500",90610,9547
"Utica University","NY",2,"17538",63277,36845
"Vassar College","NY",2,"17500",71366,83573
"Villa Maria College","NY",2,"10511",38857,33719
"School of Visual Arts","NY",3,"22000",46459,75016
"Wagner College","NY",2,"21000",74360,63007
"Wells College","NY",2,"12000",51094,51012
"The College of Westchester","NY",3,"16875",42215,30087
"SUNY Westchester Community College","NY",1,"5500",46822,15172
"Word of Life Bible Institute","NY",2,"5500",36173,21300
"Yeshiva of Nitra Rabbinical College","NY",2,"PS",41785,22800
"Yeshiva University","NY",2,"14000",71353,69117
"College of the Albemarle","NC",1,"PS",33234,13202
"South Piedmont Community College","NC",1,"PS",37308,12511
"Appalachian State University","NC",1,"15750",51836,22654
"Asheville-Buncombe Technical Community College","NC",1,"10000",36048,16063
"Barton College","NC",2,"15000",47913,48055
"Beaufort County Community College","NC",1,"8125",32519,15189
"Belmont Abbey College","NC",2,"14560",47937,32494
"Bennett College","NC",2,"17351",36654,39900
"Bladen Community College","NC",1,"PS",30591,11271
"Blue Ridge Community College","NC",1,"9280",36324,13097
"Brevard College","NC",2,"11250",43545,45413
"Brunswick Community College","NC",1,"PS",36668,12767
"Cabarrus College of Health Sciences","NC",2,"11499",58708,24764
"Caldwell Community College and Technical Institute","NC",1,"6625",34515,15625
